Country,GDP2019
Germany,3863.344
United Kingdom,2743.586
France,2707.074
Italy,1988.636
Russia,1637.892
Spain,1397.870
Netherlands,902.355
Turkey,743.708
Switzerland,715.360
Poland,565.854
Sweden,528.929
Belgium,517.609
Austria,447.718
Norway,417.627
Ireland,384.940
Denmark,347.176
Finland,269.654
Czech Republic,246.953
Romania,243.698
Portugal,236.408
Greece,214.012
Kazakhstan,170.326
Hungary,170.407
Ukraine,150.401
Slovakia,106.552
Luxembourg,69.453
Bulgaria,66.250
Croatia,60.702
Belarus,62.572
Slovenia,54.154
Lithuania,53.641
Serbia,51.523
Azerbaijan,47.171
Latvia,35.045
Estonia,31.038
Iceland,23.918
Cyprus,24.280
Bosnia and Herzegovina,20.106
Georgia,15.925
Albania,15.418
Malta,14.859
Armenia,13.444
North Macedonia,12.672
Moldova,11.688
Kosovo,7.996
Montenegro,5.424
San Marino,1.591
Monaco,7.188,
Andorra,3.238
